DriverNumber,BroadcastName,Abbreviation,DriverId,TeamName,TeamColor,TeamId,FirstName,LastName,FullName,HeadshotUrl,CountryCode,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,Laps,RoundNumber,EventName,Season
5,S VETTEL,VET,vettel,Ferrari,DC0000,ferrari,Sebastian,Vettel,Sebastian Vettel,,,1.0,1,3.0,,,,0 days 01:29:33.283000,Finished,25.0,58.0,1,Australian Grand Prix,2018
44,L HAMILTON,HAM,hamilton,Mercedes,00D2BE,mercedes,Lewis,Hamilton,Lewis Hamilton,,,2.0,2,1.0,,,,0 days 00:00:05.036000,Finished,18.0,58.0,1,Australian Grand Prix,2018
7,K RAIKKONEN,RAI,raikkonen,Ferrari,DC0000,ferrari,Kimi,Räikkönen,Kimi Räikkönen,,,3.0,3,2.0,,,,0 days 00:00:06.309000,Finished,15.0,58.0,1,Australian Grand Prix,2018
3,D RICCIARDO,RIC,ricciardo,Red Bull Racing,1E41FF,red_bull,Daniel,Ricciardo,Daniel Ricciardo,,,4.0,4,8.0,,,,0 days 00:00:07.069000,Finished,12.0,58.0,1,Australian Grand Prix,2018
14,F ALONSO,ALO,alonso,McLaren,FF8700,mclaren,Fernando,Alonso,Fernando Alonso,,,5.0,5,10.0,,,,0 days 00:00:27.886000,Finished,10.0,58.0,1,Australian Grand Prix,2018
33,M VERSTAPPEN,VER,max_verstappen,Red Bull Racing,1E41FF,red_bull,Max,Verstappen,Max Verstappen,,,6.0,6,4.0,,,,0 days 00:00:28.945000,Finished,8.0,58.0,1,Australian Grand Prix,2018
27,N HULKENBERG,HUL,hulkenberg,Renault,FFF500,renault,Nico,Hulkenberg,Nico Hulkenberg,,,7.0,7,7.0,,,,0 days 00:00:32.671000,Finished,6.0,58.0,1,Australian Grand Prix,2018
77,V BOTTAS,BOT,bottas,Mercedes,00D2BE,mercedes,Valtteri,Bottas,Valtteri Bottas,,,8.0,8,15.0,,,,0 days 00:00:34.339000,Finished,4.0,58.0,1,Australian Grand Prix,2018
2,S VANDOORNE,VAN,vandoorne,McLaren,FF8700,mclaren,Stoffel,Vandoorne,Stoffel Vandoorne,,,9.0,9,11.0,,,,0 days 00:00:34.921000,Finished,2.0,58.0,1,Australian Grand Prix,2018
55,C SAINZ,SAI,sainz,Renault,FFF500,renault,Carlos,Sainz,Carlos Sainz,,,10.0,10,9.0,,,,0 days 00:00:45.722000,Finished,1.0,58.0,1,Australian Grand Prix,2018
11,S PEREZ,PER,perez,Force India,F596C8,force_india,Sergio,Perez,Sergio Perez,,,11.0,11,12.0,,,,0 days 00:00:46.817000,Finished,0.0,58.0,1,Australian Grand Prix,2018
31,E OCON,OCO,ocon,Force India,F596C8,force_india,Esteban,Ocon,Esteban Ocon,,,12.0,12,14.0,,,,0 days 00:01:00.278000,Finished,0.0,58.0,1,Australian Grand Prix,2018
16,C LECLERC,LEC,leclerc,Sauber,9B0000,sauber,Charles,Leclerc,Charles Leclerc,,,13.0,13,18.0,,,,0 days 00:01:15.759000,Finished,0.0,58.0,1,Australian Grand Prix,2018
18,L STROLL,STR,stroll,Williams,FFFFFF,williams,Lance,Stroll,Lance Stroll,,,14.0,14,13.0,,,,0 days 00:01:18.288000,Finished,0.0,58.0,1,Australian Grand Prix,2018
28,B HARTLEY,HAR,brendon_hartley,Toro Rosso,469BFF,toro_rosso,Brendon,Hartley,Brendon Hartley,,,15.0,15,16.0,,,,,+1 Lap,0.0,57.0,1,Australian Grand Prix,2018
8,R GROSJEAN,GRO,grosjean,Haas F1 Team,828282,haas,Romain,Grosjean,Romain Grosjean,,,16.0,R,6.0,,,,,Wheel,0.0,24.0,1,Australian Grand Prix,2018
20,K MAGNUSSEN,MAG,kevin_magnussen,Haas F1 Team,828282,haas,Kevin,Magnussen,Kevin Magnussen,,,17.0,R,5.0,,,,,Wheel,0.0,22.0,1,Australian Grand Prix,2018
