Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,RoundNumber,EventName,Season
0 days 00:08:49.865000,HAM,44,0 days 00:01:47.929000,1.0,1.0,0 days 00:07:06.138000,,0 days 00:00:42.222000,0 days 00:00:27.261000,0 days 00:00:38.446000,0 days 00:07:45.261000,0 days 00:08:11.437000,0 days 00:08:51.954000,248.0,270.0,299.0,146.0,False,ULTRASOFT,1.0,True,Mercedes,0 days 00:07:06.138000,,,,,,False,False,1,Australian Grand Prix,2018
0 days 00:10:13.667000,HAM,44,0 days 00:01:23.802000,2.0,1.0,,,0 days 00:00:27.667000,0 days 00:00:22.884000,0 days 00:00:33.251000,0 days 00:09:17.532000,0 days 00:09:40.416000,0 days 00:10:13.667000,281.0,290.0,303.0,313.0,True,ULTRASOFT,2.0,True,Mercedes,0 days 00:08:49.865000,,,,,,False,False,1,Australian Grand Prix,2018
0 days 00:12:06.203000,HAM,44,0 days 00:01:52.536000,3.0,1.0,,,0 days 00:00:42.357000,0 days 00:00:33.017000,0 days 00:00:37.162000,0 days 00:10:56.024000,0 days 00:11:29.041000,0 days 00:12:06.203000,205.0,254.0,298.0,288.0,False,ULTRASOFT,3.0,True,Mercedes,0 days 00:10:13.667000,,,,,,False,False,1,Australian Grand Prix,2018
0 days 00:13:29.466000,HAM,44,0 days 00:01:23.263000,4.0,1.0,,,0 days 00:00:27.410000,0 days 00:00:22.811000,0 days 00:00:33.042000,0 days 00:12:33.613000,0 days 00:12:56.424000,0 days 00:13:29.466000,283.0,292.0,298.0,312.0,True,ULTRASOFT,4.0,True,Mercedes,0 days 00:12:06.203000,,,,,,False,False,1,Australian Grand Prix,2018
0 days 00:15:28.217000,HAM,44,0 days 00:01:58.751000,5.0,1.0,,,0 days 00:00:35.598000,0 days 00:00:38.396000,0 days 00:00:44.757000,0 days 00:14:05.064000,0 days 00:14:43.460000,0 days 00:15:28.217000,153.0,259.0,296.0,229.0,False,ULTRASOFT,5.0,True,Mercedes,0 days 00:13:29.466000,,,,,,False,False,1,Australian Grand Prix,2018
0 days 00:16:51.041000,HAM,44,0 days 00:01:22.824000,6.0,1.0,,,0 days 00:00:27.378000,0 days 00:00:22.601000,0 days 00:00:32.845000,0 days 00:15:55.595000,0 days 00:16:18.196000,0 days 00:16:51.041000,282.0,290.0,296.0,310.0,True,ULTRASOFT,6.0,True,Mercedes,0 days 00:15:28.217000,,,,,,False,False,1,Australian Grand Prix,2018
0 days 00:31:43.580000,HAM,44,,7.0,1.0,,0 days 00:18:39.296000,0 days 00:00:37.807000,0 days 00:00:28.990000,,0 days 00:17:29.259000,0 days 00:17:57.855000,,195.0,269.0,,242.0,False,ULTRASOFT,7.0,True,Mercedes,0 days 00:16:51.041000,,,,,,False,False,1,Australian Grand Prix,2018
0 days 00:33:36.979000,HAM,44,0 days 00:01:53.399000,8.0,2.0,0 days 00:31:48.007000,,0 days 00:00:43.168000,0 days 00:00:26.452000,0 days 00:00:43.779000,0 days 00:32:26.748000,0 days 00:32:53.200000,0 days 00:33:36.979000,250.0,277.0,303.0,205.0,False,ULTRASOFT,1.0,True,Mercedes,0 days 00:31:43.580000,,,,,,False,False,1,Australian Grand Prix,2018
0 days 00:34:59.030000,HAM,44,0 days 00:01:22.051000,9.0,2.0,,,0 days 00:00:26.904000,0 days 00:00:22.322000,0 days 00:00:32.825000,0 days 00:34:03.883000,0 days 00:34:26.205000,0 days 00:34:59.030000,285.0,294.0,302.0,317.0,True,ULTRASOFT,2.0,True,Mercedes,0 days 00:33:36.979000,,,,,,False,False,1,Australian Grand Prix,2018
0 days 00:40:35.126000,HAM,44,,10.0,2.0,,0 days 00:36:54.322000,0 days 00:00:36.883000,0 days 00:00:31.259000,,0 days 00:35:36.292000,0 days 00:36:07.146000,,175.0,219.0,,233.0,False,ULTRASOFT,3.0,True,Mercedes,0 days 00:34:59.030000,,,,,,False,False,1,Australian Grand Prix,2018
0 days 00:42:31.520000,HAM,44,0 days 00:01:56.394000,11.0,3.0,0 days 00:40:39.321000,,0 days 00:00:44.056000,0 days 00:00:28.688000,0 days 00:00:43.650000,0 days 00:41:19.182000,0 days 00:41:47.870000,0 days 00:42:31.520000,243.0,279.0,303.0,204.0,False,ULTRASOFT,1.0,True,Mercedes,0 days 00:40:35.126000,,,,,,False,False,1,Australian Grand Prix,2018
0 days 00:52:02.805000,HAM,44,,12.0,3.0,,0 days 00:43:55.452000,0 days 00:00:27.138000,0 days 00:00:22.470000,,0 days 00:42:58.655000,0 days 00:43:21.098000,,284.0,294.0,,317.0,False,ULTRASOFT,2.0,True,Mercedes,0 days 00:42:31.520000,,21,,,,False,False,1,Australian Grand Prix,2018
0 days 00:53:49.836000,HAM,44,0 days 00:01:47.031000,13.0,4.0,0 days 00:52:05.849000,,0 days 00:00:40.660000,0 days 00:00:26.342000,0 days 00:00:40.029000,0 days 00:52:43.465000,0 days 00:53:09.807000,0 days 00:53:49.836000,245.0,275.0,291.0,197.0,False,ULTRASOFT,1.0,True,Mercedes,0 days 00:52:02.805000,,1,,,,False,False,1,Australian Grand Prix,2018
0 days 01:03:48.706000,HAM,44,,14.0,4.0,,0 days 00:55:43.868000,,,,,,,,,,311.0,False,ULTRASOFT,2.0,True,Mercedes,0 days 00:53:49.836000,,125,,,,False,False,1,Australian Grand Prix,2018
0 days 01:05:48.729000,HAM,44,0 days 00:02:00.023000,15.0,5.0,0 days 01:04:09.705000,,0 days 00:00:56.738000,0 days 00:00:25.229000,0 days 00:00:38.056000,0 days 01:04:45.444000,0 days 01:05:10.673000,0 days 01:05:48.729000,255.0,277.0,302.0,220.0,False,ULTRASOFT,1.0,False,Mercedes,0 days 01:04:09.705000,,1,,,,False,False,1,Australian Grand Prix,2018
